Pays,Zone,Région,MIN 200,201 300,301 400,401 500,501 600,601 700,701 800,801 900,901 1000,1001 1200,1201 1400,1401 1600,1601 1800,1801 2000,2001 2500,2500 MAX
ES,ES - 01,Alava,80.46,100.26,131.54,161.66,181.55,210.71,239.12,266.78,293.74,316.77,368.0,417.95,466.69,514.26,591.58,709.88
ES,ES - 02,Albacete,136.37,180.49,223.08,255.11,296.1,336.01,374.89,412.76,454.54,528.05,599.73,669.68,737.94,858.3,1.0,29.94
ES,ES - 03,Alicante,134.13,177.45,219.28,250.56,290.82,330.02,368.2,405.4,446.02,518.14,588.49,657.12,724.1,841.81,1.0,10.14
ES,ES - 04,Almeria,233.36,289.43,334.58,388.34,440.69,491.67,541.35,603.39,700.96,796.13,888.98,979.58,1.0,146.46,1.0,375.73
ES,ES - 05,Avila,132.98,176.53,218.7,251.99,292.49,331.91,370.32,407.73,451.09,524.05,595.19,664.6,732.35,848.07,1.0,17.65
ES,ES - 06,Badajoz,146.93,194.82,241.06,276.65,321.1,364.39,406.55,447.62,494.89,574.92,652.98,729.14,803.44,936.42,1.0,123.69
ES,ES - 07,Palma de Mallorca,404.01,468.93,532.13,593.71,653.69,733.42,852.02,967.69,1.0,80.54,1.0,190.68,1.0,398.2,1.0,677.81
ES,ES - 08,Barcelona,82.18,102.51,134.59,165.49,186.13,216.04,245.16,273.52,301.16,325.35,377.96,429.28,479.34,528.2,608.2,729.83
ES,ES - 09,Burgos,136.1,180.13,222.63,254.57,295.48,335.31,374.1,411.9,453.55,526.9,598.43,668.22,736.32,856.39,1.0,27.64
ES,ES - 10,Caceres,148.57,197.66,245.22,283.76,329.35,373.75,416.99,459.12,510.59,593.16,673.69,752.25,828.93,963.24,1.0,155.85
ES,ES - 11,Cadiz,226.83,281.24,324.77,376.95,427.76,477.26,525.48,585.01,679.62,771.88,861.9,949.75,1.0,110.9,1.0,333.05
ES,ES - 12,Castellón,136.37,180.49,223.08,255.11,296.1,336.01,374.89,412.76,454.54,528.05,599.73,669.68,737.94,858.3,1.0,29.94
ES,ES - 13,Ciudad real,211.5,262.01,301.74,350.22,397.43,443.41,488.21,541.87,629.5,714.97,798.35,879.72,1.0,27.38,1.0,232.83
ES,ES - 14,Cordoba,207.04,256.42,295.03,342.44,388.6,433.56,477.36,529.32,614.92,698.41,779.85,859.34,1.0,3.07,1.0,203.67
ES,ES - 15,Coruña,139.24,184.39,227.97,260.97,302.91,343.74,383.5,422.26,465.53,540.81,614.24,685.86,755.77,879.57,1.0,55.47
ES,ES - 16,Cuenca,136.37,180.49,223.08,255.11,296.1,336.01,374.89,412.76,454.54,528.05,599.73,669.68,737.94,858.3,1.0,29.94
