Pays,Zone,Région,MIN 200,201 300,301 400,401 500,501 600,601 700,701 800,801 900,901 1000,1001 1200,1201 1400,1401 1600,1601 1800,1801 2000,2001 2500,2500 MAX
BE,BE - 10,Bruxelles,65.31,79.4,95.21,113.24,130.96,148.38,165.5,179.38,193.03,210.19,242.11,273.51,283.2,292.74,349.22,413.29
BE,BE - 11,Evere,65.31,79.4,95.21,113.24,130.96,148.38,165.5,179.38,193.03,210.19,242.11,273.51,283.2,292.74,349.22,413.29
BE,BE - 12,Saint-Josse-ten-Noode,65.31,79.4,95.21,113.24,130.96,148.38,165.5,179.38,193.03,210.19,242.11,273.51,283.2,292.74,349.22,413.29
BE,BE - 13,Wavre,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 14,Nivelles,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 15,Halle,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 16,Oudenaken,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 17,Dilbeek,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 18,Vilvoorde,65.31,79.4,95.21,113.24,130.96,148.38,165.5,179.38,193.03,210.19,242.11,273.51,283.2,292.74,349.22,413.29
BE,BE - 19,Zaventem,65.31,79.4,95.21,113.24,130.96,148.38,165.5,179.38,193.03,210.19,242.11,273.51,283.2,292.74,349.22,413.29
BE,BE - 20,Anvers,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 21,Deurne,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 22,Herentals,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 23,Turnhout,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 24,Mol,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 25,Lierre,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 26,Berchem,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 27,Malines,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 28,Schoten,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 29,Louvain,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 30,Rotselaar,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 31,Aarschot,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 32,Tirlemont,68.68,82.19,97.44,117.37,136.97,156.23,175.16,188.96,202.53,219.62,253.01,285.86,296.99,307.94,367.32,434.49
BE,BE - 33,Landen,76.4,92.18,109.66,131.41,152.79,173.82,194.48,209.39,224.06,242.23,279.17,315.53,332.9,350.0,417.4,493.15
BE,BE - 34,Hasselt,76.4,92.18,109.66,131.41,152.79,173.82,194.48,209.39,224.06,242.23,279.17,315.53,332.9,350.0,417.4,493.15
BE,BE - 35,Genk,76.4,92.18,109.66,131.41,152.79,173.82,194.48,209.39,224.06,242.23,279.17,315.53,332.9,350.0,417.4,493.15
BE,BE - 36,Tongres,76.4,92.18,109.66,131.41,152.79,173.82,194.48,209.39,224.06,242.23,279.17,315.53,332.9,350.0,417.4,493.15
