Pays,Zone,Région,MIN 200,201 300,301 400,401 500,501 600,601 700,701 800,801 900,901 1000,1001 1200,1201 1400,1401 1600,1601 1800,1801 2000,2001 2500,2500 MAX
NL,NL - 10,Amsterdam,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 11,Amsterdam,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 12,Hilversum,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 13,Almere,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 14,Bussum,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 15,Zaanstad,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 16,Enkhuizen,92.67,117.09,143.16,174.71,205.72,236.19,266.16,295.91,325.16,357.9,406.74,454.78,503.04,550.53,656.17,773.1
NL,NL - 17,Heerhugowaard,92.67,117.09,143.16,174.71,205.72,236.19,266.16,295.91,325.16,357.9,406.74,454.78,503.04,550.53,656.17,773.1
NL,NL - 18,Alkmaar,92.67,117.09,143.16,174.71,205.72,236.19,266.16,295.91,325.16,357.9,406.74,454.78,503.04,550.53,656.17,773.1
NL,NL - 19,Castricum,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 20,Haarlem,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 21,Heemstede,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 22,Noordwijk,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 23,Leiden,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 24,Alphen aan den Rijn,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 25,‘S-Gravenhage den Haag,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 26,Delft,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 27,Zoetermeer,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 28,Gouda,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 29,Capelle aan den Ijssel,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 30,Rotterdam,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 31,Schiedam,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 32,Spijkenisse,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 33,Dordrecht,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 34,Ijsselstein,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 35,Utrecht,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 36,Maarssen,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 37,Zeist,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 38,Amersfoort,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 39,Veenendaal,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 40,Tiel,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 41,Culemborg,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 42,Gorinchem,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 43,Middelburg,92.67,117.09,143.16,174.71,205.72,236.19,266.16,295.91,325.16,357.9,406.74,454.78,503.04,550.53,656.17,773.1
NL,NL - 44,Yerseke,92.67,117.09,143.16,174.71,205.72,236.19,266.16,295.91,325.16,357.9,406.74,454.78,503.04,550.53,656.17,773.1
NL,NL - 45,Oostburg,92.67,117.09,143.16,174.71,205.72,236.19,266.16,295.91,325.16,357.9,406.74,454.78,503.04,550.53,656.17,773.1
NL,NL - 46,Bergen op Zoom,80.7,99.19,119.44,146.38,172.86,198.9,224.49,253.9,282.82,315.22,361.39,406.79,444.53,481.67,574.19,677.06
NL,NL - 47,Roosendaal,80.7,99.19,119.44,146.38,172.86,198.9,224.49,253.9,282.82,315.22,361.39,406.79,444.53,481.67,574.19,677.06
NL,NL - 48,Breda,80.7,99.19,119.44,146.38,172.86,198.9,224.49,253.9,282.82,315.22,361.39,406.79,444.53,481.67,574.19,677.06
NL,NL - 49,Oosterhout,80.7,99.19,119.44,146.38,172.86,198.9,224.49,253.9,282.82,315.22,361.39,406.79,444.53,481.67,574.19,677.06
NL,NL - 50,Tilburg,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 51,Dongen,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
NL,NL - 52,‘S-Hertogenbosch,84.68,104.43,125.91,154.4,182.4,209.93,236.99,264.23,291.01,321.33,368.43,414.79,458.41,501.34,597.61,704.5
